orgnr,latest_year,score,revenue,result,equity,balance,receivables,liquidity,short_term_debt,reasons,match_status,matched_orgnr,bolag_namn,kontakt_telefon,kontakt_email,webbplats,kontakt_kalla,kontakt_url
5569395220,2025,93,6662817.0,438799.0,2778495.0,5457748.0,1092218.0,0.0,1108998.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5569395220,Filles Elteknik AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/filles-elteknik-ab-higoqsbi
5567211213,2025,93,10821660.0,3762529.0,3342750.0,13848179.0,1179590.0,0.0,2205429.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5567211213,David Rizi,+468 40 02 46,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/david-rizi-kpqqtxjcm
5566376959,2025,93,13714727.0,562072.0,3887162.0,7846395.0,1705162.0,0.0,3267818.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,error:TimeoutError,,,,,,hitta.se,https://www.hitta.se/s%C3%B6k?vad=5566376959
5562907690,2025,93,55209521.0,1087021.0,8450896.0,19755511.0,9661336.0,0.0,11304615.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5562907690,Jens-Åke Bygg AB,+46494 103 51,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/jens-ake-bygg-ab-muuefmpq
5567511786,2025,93,5845258.0,2340457.0,20347118.0,20702530.0,1386720.0,0.0,355412.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5567511786,Ck Business Economics AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/ck-business-economics-ab-jcgpstvi
5566412341,2025,93,5071335.0,581625.0,1581443.0,3643111.0,481947.0,0.0,1227668.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5566412341,Watek AB,0278-65 11,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/watek-ab-akmntvvx
5567914527,2025,93,7525186.0,1489858.0,1775122.0,3091089.0,744654.0,0.0,744891.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5567914527,Mft Maskin & Fordonsteknik AB,+4670 633 03 32,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/mft-maskin-och-fordonsteknik-ab-moxikcrbx
5569123085,2025,93,14851279.0,2454035.0,5146824.0,7269864.0,1642697.0,0.0,1511122.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5569123085,Neptunus Hav & Land AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/neptunus-hav-och-land-ab-lctttxjak
5567425805,2025,93,10915564.0,3398920.0,9132221.0,15727033.0,1381960.0,0.0,1941034.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5567425805,Ljungby Industriteknik AB,070-269 27,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/ljungby-industriteknik-ab-mosyeamu
5565797262,2025,93,33842570.0,5137330.0,9187792.0,36804736.0,4238862.0,0.0,9340395.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5565797262,Folkessons Gröna Näringar AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/folkessons-grona-naringar-ab-fjlryecqr
