bolag_namn,org_nr,review_rows,unique_reviewers,oldest_review,newest_review,weak_name_pct,trustpilot_company
"Svenska Markavtal AB",5591914816,3,1,2026-08-11T08:16:59.000Z,2026-08-11T08:16:59.000Z,0.0,"Prioritet Finans AB Reviews"
"VOP Media Production Kommanditbolag",9697583244,3,1,2026-08-11T08:16:59.000Z,2026-08-11T08:16:59.000Z,0.0,"Prioritet Finans AB Reviews"
"F&S BILAR handelsbolag",9697927250,2,1,2026-07-30T14:20:48.000Z,2026-07-30T14:20:48.000Z,0.0,""
"Sparbanksstiftelsen Glimåkra",8024260674,2,1,2025-11-18T09:49:26.000Z,2025-11-18T09:49:26.000Z,0.0,"Prioritet Finans AB Reviews"
"Fotograf Charlie Bennet AB",5568138688,2,1,2025-09-18T06:42:40.000Z,2025-09-18T06:42:40.000Z,0.0,""
"Li Lantbruk Aktiebolag",5564037918,2,1,2025-01-20T10:29:22.000Z,2025-01-20T10:29:22.000Z,0.0,""
"Left Foot Music AB",5592609373,2,1,2024-10-11T12:05:20.000Z,2024-10-11T12:05:20.000Z,0.0,""
"Spelbryggeriet AB",5595340653,2,1,2024-10-11T12:05:20.000Z,2024-10-11T12:05:20.000Z,0.0,""
"Spelbryggeriet Handelsbolag",9697761907,2,1,2024-10-11T12:05:20.000Z,2024-10-11T12:05:20.000Z,0.0,""
"RichRelevance Sweden AB",5566013214,2,1,2024-04-10T08:56:04.000Z,2024-04-10T08:56:04.000Z,0.0,""
"RichRelevance Sweden Holding AB",5569124422,2,1,2024-04-10T08:56:04.000Z,2024-04-10T08:56:04.000Z,0.0,""
"Tronum Group AB",5569633174,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"Tronum Invest AB",5595157768,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"Tronum Retail AB",5590990478,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"DartVoid AB",5569907586,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"Siftlab AB",5590079892,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"Sipmek AB",5593786238,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"Aziz Consulting AB",5593044406,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
